ui_texture_detail|Детализация текстур:
ui_max_frame_rate|Макс. частота кадров:
ui_enable_bumpmap|Использовать Bump Mapping
ui_disable_blood|Отключить кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звуки
ui_enable_cheats|Включить чит-коды
ui_enable_edit_mode|Включить режим редактирования (может замедлить игру)
ui_enable_pixel_shaders|Пиксельные шейдеры
ui_enable_sound_variation|Включить варьирование звука
ui_enable_vertex_shaders|Метод визуализации:
ui_shadow_quality|Качество теней:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Показывать частоту кадров
ui_start_windowed|Запускать в окне
ui_trialmode_caption|Активация
ui_trialmode|Выполните активацию Mount&&Blade с помощью серийного номера. Ваш индивидуальный, 16-значный серийный номер содержится внутри коробочной копии игры.
Если по какой-либо причине вы не желаете активировать игру сейчас, то можете продолжить играть в пробном режиме, до достижения вашим персонажем 8 уровня.
ui_launch_buy|Приобрести лицензию от TaleWorlds.com
ui_launch_faq|Часто задаваемые вопросы по активации
ui_trialmode2|Чтобы активировать игру сейчас...
ui_trialmode3|Или можете также...
ui_trialmode4|Если у вас есть какой-либо вопрос о процессе активации, вы можете прочитать...
ui_serial_key_caption|Серийный номер
ui_notification_serial_input|Введите или вставьте серийный номер ниже и нажмите "Активировать"
ui_notification_serial_input_vc|Этому модулю необходим ключ от Viking Conquest. Введите ваш ключ от Viking Conquest ниже (вы можете скопировать и вставить его), и затем нажмите 'активировать'.
ui_activate|Активировать
ui_paste|Вставить
ui_notification_serial_internet_connection|Активация требует наличия действующего интернет соединения!
ui_notification_serial_offline|Если этот компьютер не обладает доступом в интернет также можете использовать:
ui_manual_activation|Ручная активация
ui_offline_activation|Автономная активация
ui_manual_activation_caption|Ручная активация
ui_offline_activation_caption|Автономная активация
ui_cancel2|Отмена
ui_close|Закрыть
ui_ok2|OK
ui_activation_successful|Игра успешно активирована.
ui_activation_successful2|Пожалуйста, сохраните ваш серийный номер. Возможно он еще понадобится в будущем если вы захотите установить Mount&&Blade на новом компьютере.
ui_activation_denied|В активации отказано!
ui_notification_serial_already_used|Серийный номер уже используется на другом компьютере. Вам придется подождать несколько недель для активации на этом компьютере.
ui_notification_unable_to_connect_to_activation_server|Не удалось соединиться с сервером активации!
ui_notification_unable_to_connect_to_activation_server2|Убедитесь что ваше интернет соединение включено и сделайте новую попытку. Если вы используете брандмауэр, то необходимо разрешить игре доступ в интернет. Если это не помогло, воспользуйтесь ручной активацией.
ui_incorrect_serial_number|Неверный серийный номер!
ui_incorrect_hardware_hash|Неверный аппаратный хэш!
ui_incorrect_activation_code|Неверный код активации!
ui_cant_write_to_registry|Не удалось записать в реестр!
ui_video|Видео
ui_audio|Звук
ui_game|Игра
ui_advanced|Прочее
ui_mount_and_blade_is_ready|Mount&&Blade Warband готов.
ui_notification_trial_mode|Mount&&Blade Warband запущен в пробном режиме. В этом режиме можно играть до тех, пока персонаж не достигнет шестого уровня. При достижении шестого уровня для продолжения игры необходимо приобрести лицензию на сайте taleworlds.com.
ui_there_are_no_modules_installed|Отсутствуют модули!
ui_notification_new_version|Доступна новая версия Mount&Blade Warband.
Сейчас установлена версия %d.%d%d%d.
Последняя версия Mount&Blade Warband %d.%d%d%d.
Вы можете загрузить новую версию с сайта www.taleworlds.com.
ui_new_version_found|Найдена новая версия!
ui_notification_unable_to_retreive_new_version|Не удалось получить информацию про обновления игры. Повторите попытку позднее.
ui_new_version|Новая версия:
ui_notification_latest_version|Установленная версия Mount&&Blade Warband является последней на текущий момент.
ui_mount_and_blade_is_up_to_date|Mount&Blade Warband обновлен!
ui_off|Откл.
ui_continue_playing_the_trial_mode|Продолжить играть в пробном режиме
ui_faq_caption|ЧАВО
ui_faq_text|"В: Что такое активация?r
О: Метод активации означает удобный для пользователя способ защиты от копирования, который основан на распространении индивидуального серийного номера вместе с каждой копией игры. Вам необходимо один раз активировать игру своим серийным номером на каждом компьютере, на котором вы будете играть в игру. После однократной активации, вам нет необходимости делать что-то еще, чтобы играть также как держать диск игры в приводе. На протяжении всего времени пока вы храните свой серийный номер, сможете свободно активировать игру и играть, даже спустя многие годы.r
r
В: Где я могу достать свой серийный номер?r
О: Каждая коробочная копия игры содержит индивидуальный серийный номер. Разные продавцы могут распространять номера разнообразными способами, но обычно он вложен внутри вашего печатного издания. Если вы приобрели вашу игру в интернете, тогда онлайн продавец снабжает вас вашим серийным номером.r
r
В: Как происходит процесс активации?r
О: Игра считывает значение хеш-функции из спецификаций вашего компьютера и передает его на сервер активации через интернет вместе с вашим серийным номером. Сервер активации регистрирует серийный номер и отправляет на ваш компьютер активационный номер, который затем открывает полный режим игры.r
r
В: Могу ли я активировать игру на нескольких компьютерах?r
О: Да, можете. Только помните что зарегистрированная вами игра для вашего личного пользования. Сервер активации может временно отклонять серийный номер если он использован на многих компьютерах за короткий период времени. r
r
В: Программа прекращает реагировать после нажатия кнопки активации.r
О: Иногда такое бывает в процессе активации. Будьте терпеливы, в итоге игра сообщит результат.r
r
В: Мой компьютер не имеет доступа в интернет. Как мне активировать игру?r
О: В этом случае используйте ручную активацию. Нажмите "Ввести свой серийный номер", а затем "Ручная активация". Но вам по-прежнему необходимо открыть веб-страницу ручной активации с другого компьютера, который имеет интернет соединение.r
"
ui_auto_adjust|Автонастройка
ui_screen_size|Разрешение экрана:
ui_antialiasing|Сглаживание:
ui_use_desktop_resolution|Как у рабочего стола
ui_play|Играть
ui_check_for_new_version|Проверить на наличие новой версии
ui_configure|Настройки
ui_configure_caption|Настройки
ui_mountandblade_website|Сайт Mount&Blade Warband
ui_current_setting|           Текущий модуль:
ui_manual_activation_text1|1) В веб-браузере, откройте следующий адрес:
ui_manual_activation_text2|2) На открывшейся веб-странице введите серийный номер...
ui_manual_activation_text3|3) ...и этот аппаратный хэш:
ui_manual_activation_text4|4) Страница сообщит вам код активации. Введите или вставьте и нажмите "OK".
ui_activation_code|Код активации:
ui_force_vsync|Вертикальная синхронизация
ui_module_newer_than_application|Для выбранного вами модуля требуется более новая версия игры.
ui_module_older_than_application|Для выбранного вами модуля требуется старая версия игры.
ui_m_low|Низкое
ui_m_high|Высокое
ui_m_ultra_high|Очень высокое
ui_force_single_threading|Включить однопоточный режим
ui_not_enough_memory|Похоже, что сейчас у вас %d МБ свободной физической и виртуальной памяти. Для беспроблемной работы Mount&Blade Warband требуется как минимум 700 МБ свободной физической и виртуальной памяти. Если во время работы Mount&Blade Warband будут наблюдаться падения игры, пожалуйста, закройте другие программы перед запуском игры или увеличьте размер файла подкачки в панели управления Windows.
ui_install|Установить Mount&Blade Warband
DirectXText|"Mount&Blade Warband требует DirectX 9.0c для запуска. Ваш компьютер не соответствует этому требованию. Чтобы исправить эту проблему, вам необходимо загрузить и установить последнюю версию DirectX с сайта Microsoft. Вы желаете перейти на страницу загрузки DirectX?"
NoMountAndBladeText|"Mount&Blade Warband не установлен на этом компьютере. Пожалуйста, скачайте установщик игры с сайта www.taleworlds.com ."
ui_SavegamesText|"Вы желаете оставить файлы сохранений?"
ui_trialmode_online|В настоящее время Mount&&Blade работает в пробном режиме. Вы можете свободно играть до достижения персонажем 7 уровня. Если вы уже приобрели игру, то введите свой серийный номер. Приобретение лицензии онлайн занимает несколько минут и открывает полный режим.
ui_launch_activate|Ввести свой серийный номер
ui_trialmode2_online|После приобретения лицензии, вы получите свой серийный номер.
Приступить к открытию полного режима...
ui_trialmode3_online|Или, если не хотите приобретать игру можете...
ui_trialmode4_online|Если вам хочется узнать больше о нашей политике продаж, то взгляните на:
ui_ondemand_textures|Загрузка текстур по требованию
ui_language|Язык:
ui_steam_not_running|Steam не может быть инициализирован. Steam необходим для того, чтобы запустить игру.
ui_switch_to_turkish_explanation|Хотите ли вы перевода игры на турецкий язык?
ui_switch_to_turkish_yes|Да
ui_switch_to_turkish_no|Нет
ui_new_version_message|Доступна новая версия игры. Посетить страницу загрузки сейчас?
ui_enable_version_check|Включить проверку обновлений
ui_disable|Отключить
ui_yes2|Да
ui_no2|Нет
ui_new_version_message2|Доступна новая версия игры. Посетите онлайн портал для покупки игры и загрузки новой версии.
